	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
CJ522_f_1	10467808.0	2196311.0	2863.0	1047846.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7027064.0	190384.0	3340.0	20.981575130151416	10467808.0	9419962.0	89.99	1047846.0	10.01	CJ522_f_1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10467808.0	0.0	20-75	54.0	20.758407106107335	72.44951263913133	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	10477583	4464810	10477583	785818725	745857	765698037	2.5604744911111657	0.8085	0.0368	0.1548		
CJ522_f_2	8582900.0	1394644.0	3993.0	786114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6267599.0	128261.0	2289.0	16.249099954560815	8582900.0	7796786.0	90.84	786114.0	9.16	CJ522_f_2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8582900.0	0.0	20-75	53.0	18.968313216681985	72.46610772582694	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	8591157	3810528	8591157	644336775	628483	627910409	2.5493447894542416	0.848	0.0338	0.1182		
CJ522_f_3	9981650.0	1826240.0	24302.0	956331.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6993978.0	177097.0	3702.0	18.295973110658053	9981650.0	9025319.0	90.42	956331.0	9.58	CJ522_f_3_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9981650.0	0.0	20-75	53.0	20.446629629842487	71.79687206023053	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	9997142	4454020	9997142	749785650	777129	723703230	3.4786501982266533	0.8297	0.0328	0.1374		
CJ522_fg_1	9088099.0	2172337.0	18863.0	937347.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5760460.0	195370.0	3722.0	23.903095685907477	9088099.0	8150752.0	89.69	937347.0	10.31	CJ522_fg_1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9088099.0	0.0	20-75	54.0	22.34270056500328	72.36272492190061	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	9099751	3743169	9099751	682481325	679802	664140011	2.687445550250038	0.7791	0.0388	0.1822		
CJ522_fg_2	5792029.0	1356121.0	4503.0	609064.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3694492.0	125618.0	2231.0	23.41357406877624	5792029.0	5182965.0	89.48	609064.0	10.52	CJ522_fg_2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5792029.0	0.0	20-75	54.0	23.641487949540874	72.29899539522333	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	5796840	2404974	5796840	434763000	431153	422895254	2.7297046896815047	0.7804	0.0409	0.1787		
CJ522_fg_3	7491637.0	1920151.0	4760.0	694856.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4703411.0	165222.0	3237.0	25.63059315340559	7491637.0	6796781.0	90.72	694856.0	9.28	CJ522_fg_3_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7491637.0	0.0	20-75	54.0	22.943697955874445	72.49237916893198	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	7501351	3001795	7501351	562601325	520331	548492779	2.5077342290297664	0.7685	0.0416	0.1898		
CJ522_gfg_1	13043605.0	3395568.0	6959.0	1198223.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8128528.0	308776.0	5551.0	26.032435051506077	13043605.0	11845382.0	90.81	1198223.0	9.19	CJ522_gfg_1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13043605.0	0.0	20-75	54.0	20.138455123876017	72.61064268658856	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	13055894	5138891	13055894	979192050	958371	956494677	2.317969493318497	0.7686	0.039	0.1924		
CJ522_gfg_2	14234979.0	3066898.0	6173.0	1178435.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9683351.0	294475.0	5647.0	21.54480171695371	14234979.0	13056544.0	91.72	1178435.0	8.28	CJ522_gfg_2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14234979.0	0.0	20-75	53.0	17.321697005898873	72.78632515018111	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	14245326	5618208	14245326	1068399450	982461	1046347257	2.0640400928697598	0.8029999999999999	0.0363	0.1607		
CJ522_gfg_3	5372819.0	1031997.0	4467.0	471081.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3763345.0	99929.0	2000.0	19.20773806078336	5372819.0	4901738.0	91.23	471081.0	8.77	CJ522_gfg_3_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5372819.0	0.0	20-75	53.0	21.387594848859887	72.75305272706935	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	5378629	2169006	5378629	403397175	394439	394717008	2.151766927966216	0.821	0.0359	0.1431		
CJ522_gg_1	6871384.0	1543731.0	1736.0	616777.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4560681.0	145780.0	2679.0	22.466085434899288	6871384.0	6254607.0	91.02	616777.0	8.98	CJ522_gg_1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6871384.0	0.0	20-75	54.0	21.988485802491077	72.58533215433745	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	6876556	2786595	6876556	515741700	501584	503672455	2.3401724157654886	0.7964	0.0392	0.1644		
