,WT_R1,WT_R2,WT_R3,WT_R4,A3_R1,A3_R2,A4_R1,A4_R2,DRelA_R1,DRelA_R2
PP_0001,7.817627486,7.98965506,8.0841132,7.96815642,7.495422302,7.596291997,7.685556408,7.651989816,8.008866123,7.90573087
PP_0002,7.913244417,8.045446192,7.27473995,7.161237292,6.342721028,6.492677425,7.047618052,6.863026227,7.619741315,7.669707768
PP_0003,7.675410093,7.939422853,7.373295232,7.334973244,6.371213033,6.451531265,6.782451517,6.613855222,7.684742717,7.285536699
PP_0004,8.243906766,8.432441447,7.852855692,7.77741654,7.416481346,7.330837932,7.848703021,7.809180569,8.338953422,8.160896644
PP_0005,6.456989839,6.324764121,6.667109215,7.033517071,5.755999924,5.719011815,5.40111709,5.595393685,5.506964722,5.578509347
PP_0006,7.668677362,8.108925459,7.902025033,7.368730983,8.160749678,8.100797866,8.846043718,8.88381134,9.149882511,9.023592085
PP_0007,6.302241628,6.723676262,5.703973038,5.321473056,5.709604767,5.07496504,6.209942736,6.09862061,8.43399589,7.617009722
PP_0008,7.935017998,8.265011404,7.672221187,7.252454369,8.697319229,8.848792264,9.428507926,9.394272778,9.423841189,9.163679867
PP_0009,6.364004133,6.896684617,7.869923033,6.807867181,2.610776016,2.349544988,4.102150896,2.079783854,7.462424924,7.478657743
PP_0010,8.464154332,8.457258038,8.181304056,8.067816329,7.418116189,7.279708374,7.496617605,7.553649337,8.491793236,8.326333169
PP_0011,8.223140398,8.360249282,8.233843054,8.108070621,7.495843528,7.422452173,7.70979924,7.76478311,8.377645666,8.306194962
PP_0012,7.219555316,7.440170257,6.776993848,6.583049359,7.449892404,7.349619065,7.662387902,7.831715544,7.368580455,7.145024153
PP_0013,8.570951299,8.781945765,8.476803877,8.351694398,8.290076784,8.19913631,8.833106363,8.849896281,8.881858156,8.725879705
PP_0014,3.424539425,3.553703607,2.666996757,3.026177144,3.923928678,4.208030407,3.713758288,3.595177099,1.752933838,2.251932258
PP_0015,4.791898537,4.935376276,4.39544561,4.36358437,4.253470927,4.299905788,3.953873899,3.855388689,3.22958315,3.897081428
PP_0016,4.943335569,5.168175785,4.643467759,4.667853516,4.879412454,4.957207539,4.814659168,4.645534859,4.058703143,4.396401433
PP_0017,7.866328025,7.97263559,8.294892166,8.671727126,6.396315282,6.542474773,5.923950798,5.799980272,6.305197789,6.68872579
PP_0018,9.323721977,9.289528153,9.153758542,8.728602267,8.29745305,8.399435329,8.46642271,8.453193004,7.934746406,8.144740502
PP_0019,9.656027827,9.687377431,9.487923742,9.522454034,8.905003107,8.926324908,8.64490328,8.600657936,8.416629502,8.509312196
PP_0020,8.743316572,8.871389764,8.03691185,8.107278027,8.197257009,8.231391486,8.127082609,8.096811362,7.741237408,7.741375969
PP_0021,5.824131895,6.187520188,5.139418983,5.314822114,5.622218511,5.896640828,5.823887388,5.680864334,4.571059177,4.549249646
PP_0022,0,1.079056824,0,0,0,0,0,1.215419755,0,1.766291629
PP_0023,6.448845451,7.07202829,8.750643526,8.325862085,1.224054211,0,0,0,7.261960287,7.211507714
PP_0024,2.007421861,2.054025375,1.530929716,1.730625078,1.830119049,1.528851916,1.198291997,0.827852517,1.297744114,2.018152591
