	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
DRX086748	250080301	1036537	125720392	2861295	0	0	0	0	0	0	0	0	0	120433769	26905	1403	0.414481667	250080301	247219006	98.86	2861295	1.14	DRX086748_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	250080301	0	20-36	53	1.276441524	35.48832857	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	250259292	80392472	250259292	9009334512	24195500	8876383423	1.475703769	0.499	0.065	0.436	0	0
DRX086749	218595121	718309	110020257	1619339	0	0	0	0	0	0	0	0	0	106216803	19486	927	0.328602485	218595121	216975782	99.26	1619339	0.74	DRX086749_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	218595121	0	20-36	53	1.071526996	35.53235586	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	218783554	70388926	218783554	7876207944	11371945	7768389406	1.368914315	0.4982	0.0688	0.4329	0	0
DRX086758	15168251	7219400	53805	1733992	0	0	0	0	0	0	0	0	0	5723284	427514	10256	47.59546766	15168251	13434259	88.57	1733992	11.43	DRX086758_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15168251	0	20-101	56	19.83348919	96.24585603	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	15337994	6614854	15337994	1549137394	22259569	1470980184	5.045208405	0.7342	0.0265	0.2393	0	0
DRX086759	18887145	8922911	86485	2158250	0	0	0	0	0	0	0	0	0	7184571	522896	12032	47.24330226	18887145	16728895	88.57	2158250	11.43	DRX086759_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18887145	0	20-101	56	17.97896386	95.89889917	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	19129610	8338043	19129610	1932090610	30150255	1825236431	5.530495229	0.7277	0.0294	0.2429	0	0
DRX086760	16888370	8175956	50393	1954013	0	0	0	0	0	0	0	0	0	6258282	437347	12379	48.41175318	16888370	14934357	88.43	1954013	11.57	DRX086760_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16888370	0	20-101	56	18.04069209	96.68463422	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	17106374	7183064	17106374	1727743774	26014554	1645447145	4.763242689	0.717	0.0277	0.2553	0	0
DRX086761	20184424	10070443	255309	2200561	0	0	0	0	0	0	0	0	0	7081598	559454	17059	49.89214951	20184424	17983863	89.1	2200561	10.9	DRX086761_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20184424	0	20-101	57	18.47349522	96.62960429	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	20415323	8556950	20415323	2061947623	29908154	1965268878	4.688710029	0.7025	0.0281	0.2695	0	0
DRX086762	15645484	5866719	331289	1778664	0	0	0	0	0	0	0	0	0	7273829	388402	6581	37.49784283	15645484	13866820	88.63	1778664	11.37	DRX086762_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15645484	0	20-101	55	17.16974856	95.25940342	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	15771213	7433664	15771213	1592892513	16862978	1501271815	5.751844349	0.7782	0.0265	0.1953	0	0
DRX086763	16704176	6171832	763561	1712694	0	0	0	0	0	0	0	0	0	7635819	414144	6126	36.94783867	16704176	14991482	89.75	1712694	10.25	DRX086763_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16704176	0	20-101	55	16.09852682	94.49633577	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	16880241	8283946	16880241	1704904341	21315572	1590266402	6.724010036	0.7721	0.0294	0.1985	0	0
DRX086764	18017878	6480483	499504	2042558	0	0	0	0	0	0	0	0	0	8546555	441688	7090	35.96696015	18017878	15975320	88.66	2042558	11.34	DRX086764_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18017878	0	20-101	55	17.98180696	92.6369295	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	18228346	9558049	18228346	1841062946	22108364	1681988164	8.640377144	0.7736	0.0309	0.1954	0	0
DRX086765	18206228	6837606	581952	2048900	0	0	0	0	0	0	0	0	0	8292200	438834	6736	37.55641201	18206228	16157328	88.75	2048900	11.25	DRX086765_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18206228	0	20-101	55	16.86664803	94.26422618	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	18393521	8973317	18393521	1857745621	22362302	1729087649	6.925489181	0.7663	0.0312	0.2024	0	0
DRX086766	18862552	9132465	80639	2135064	0	0	0	0	0	0	0	0	0	6962772	540935	10677	48.41585062	18862552	16727488	88.68	2135064	11.32	DRX086766_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18862552	0	20-101	56	17.92768209	96.45287827	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	19069446	8184403	19069446	1926014046	25878456	1833169395	4.820559393	0.7189	0.0322	0.2488	0	0
DRX086767	19479123	9352620	68685	2246827	0	0	0	0	0	0	0	0	0	7256035	542543	12413	48.0135579	19479123	17232296	88.47	2246827	11.53	DRX086767_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19479123	0	20-101	56	17.35734204	96.24678986	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	19723992	8675239	19723992	1992123192	29528064	1889021138	5.175485854	0.7243	0.0287	0.247	0	0
DRX086768	16518385	7512921	74055	1844578	0	0	0	0	0	0	0	0	0	6618933	456603	11295	45.48217637	16518385	14673807	88.83	1844578	11.17	DRX086768_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16518385	0	20-101	56	16.22830509	95.77241468	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	16726686	7659092	16726686	1689395286	23413285	1594034400	5.644675748	0.738	0.0285	0.2335	0	0
DRX086769	19786812	9480856	115539	2167833	0	0	0	0	0	0	0	0	0	7422798	588349	11437	47.91502542	19786812	17618979	89.04	2167833	10.96	DRX086769_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19786812	0	20-101	56	18.04581512	95.80734997	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	20055437	9001209	20055437	2025599137	31028526	1910261410	5.694005536	0.7237	0.031	0.2453	0	0
DRX086770	15701041	6363537	122734	1893389	0	0	0	0	0	0	0	0	0	6880404	434125	6852	40.52939547	15701041	13807652	87.94	1893389	12.06	DRX086770_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15701041	0	20-101	56	18.7763492	95.57703289	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	15868258	7327955	15868258	1602694058	18806610	1511929939	5.663221783	0.7641	0.0255	0.2104	0	0
DRX086771	14528100	6193155	170278	1641869	0	0	0	0	0	0	0	0	0	6115970	399443	7385	42.62880211	14528100	12886231	88.7	1641869	11.3	DRX086771_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14528100	0	20-101	56	16.41149199	95.45501724	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	14715933	7077856	14715933	1486309233	19196568	1397177040	5.996880798	0.7589	0.0309	0.2101	0	0
DRX086772	15516857	6495147	170871	1804609	0	0	0	0	0	0	0	0	0	6613404	424710	8116	41.85865089	15516857	13712248	88.37	1804609	11.63	DRX086772_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15516857	0	20-101	56	16.33903782	94.43168356	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	15682202	7773736	15682202	1583902402	18096878	1476372195	6.788941469	0.7565	0.0332	0.2102	0	0
DRX086773	16436343	6983891	224955	1793499	0	0	0	0	0	0	0	0	0	6946618	479089	8291	42.49054063	16436343	14642844	89.09	1793499	10.91	DRX086773_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16436343	0	20-101	56	15.94252235	94.92098857	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	16620203	8123770	16620203	1678640503	21177881	1571806912	6.364292462	0.7597	0.029	0.2113	0	0
DRX086775	23517391	7346294	199158	2263425	0	0	0	0	0	0	0	0	0	12866266	826641	15607	31.2377083	23517391	21253966	90.38	2263425	9.62	DRX086775_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23517391	0	20-101	53	16.46212512	90.43204733	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	23838251	14547450	23838251	2407663351	38029538	2142555522	11.01100072	0.795	0.0312	0.1738	0	0
DRX086776	14542494	3888704	104582	1439142	0	0	0	0	0	0	0	0	0	8573265	524476	12325	26.74028265	14542494	13103352	90.1	1439142	9.9	DRX086776_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14542494	0	20-101	52	15.08108281	91.73782159	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass	14721558	8933966	14721558	1486877358	19647901	1343671183	9.631337395	0.816	0.0359	0.1482	0	0
ERX1035001	13187262	9341730	83500	683684	0	0	0	0	0	0	0	0	0	2441019	621566	15763	70.83904149	13187262	12503578	94.82	683684	5.18	ERX1035001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13187262	0	20-100	59	42.14118979	96.42309753	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	13279214	4648884	13279214	1327921400	20753041	1275817574	3.923713105	0.3009	0.2829	0.4162	0	0
ERX1035002	19052513	12092184	380755	1518676	0	0	0	0	0	0	0	0	0	4367048	675039	18811	63.4676591	19052513	17533837	92.03	1518676	7.97	ERX1035002_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19052513	0	20-100	59	36.03959064	96.18624819	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	19123228	7083960	19123228	1912322800	26584506	1838150375	3.878656103	0.3114	0.2883	0.4003	0	0
ERX1035005	24436628	17373410	76621	1451486	0	0	0	0	0	0	0	0	0	4407442	1099608	28061	71.09577475	24436628	22985142	94.06	1451486	5.94	ERX1035005_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24436628	0	20-100	59	34.42513711	96.59897061	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	24625513	8334934	24625513	2462551300	37750039	2368419635	3.822526053	0.2975	0.2865	0.416	0	0
ERX1035006	11449818	8187673	36787	861709	0	0	0	0	0	0	0	0	0	1851413	498297	13939	71.50919779	11449818	10588109	92.47	861709	7.53	ERX1035006_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11449818	0	20-100	59	48.24634136	96.33976051	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	11540168	3819967	11540168	1154016800	20164767	1106714353	4.098939201	0.2965	0.2833	0.4202	0	0
ERX1035007	10919694	7340685	26400	679362	0	0	0	0	0	0	0	0	0	2391504	469414	12329	67.22427387	10919694	10240332	93.78	679362	6.22	ERX1035007_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10919694	0	20-100	59	43.90670525	95.2406463	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	11001873	4410904	11001873	1100187300	17609298	1043854745	5.120269521	0.3091	0.294	0.3969	0	0
ERX1035009	15305870	10456112	324172	982742	0	0	0	0	0	0	0	0	0	2843787	681633	17424	68.3143918	15305870	14323128	93.58	982742	6.42	ERX1035009_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15305870	0	20-100	59	39.8598098	96.13586565	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	15470454	5343868	15470454	1547045400	25695721	1477048842	4.524531601	0.3057	0.2851	0.4091	0	0
ERX1035010	13663603	9675912	86506	983564	0	0	0	0	0	0	0	0	0	2259459	641541	16621	70.8152308	13663603	12680039	92.8	983564	7.2	ERX1035010_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13663603	0	20-100	59	44.79713783	95.43202214	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	13827041	5051122	13827041	1382704100	25324226	1309126505	5.321282768	0.2974	0.2836	0.4191	0	0
ERX1035011	21040400	13800576	108401	1500783	0	0	0	0	0	0	0	0	0	4807553	800235	22852	65.59084428	21040400	19539617	92.87	1500783	7.13	ERX1035011_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21040400	0	20-100	59	36.07900796	95.99947539	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	21123751	7982396	21123751	2112375100	29143041	2026163608	4.081258674	0.314	0.2945	0.3914	0	0
GB032_f_1	8379919	1529102	7744	1036821	0	0	0	0	0	0	0	0	0	5658624	144636	2992	18.24721695	8379919	7343098	87.63	1036821	12.37	GB032_f_1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8379919	0	20-75	53	25.75673458	71.00274931	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	8402511	3836462	8402511	630188325	720756	601036249	4.625930828	0.8179	0.0411	0.141	0	0
GB032_f_2	11737108	1936593	22096	1424346	0	0	0	0	0	0	0	0	0	8160796	189355	3922	16.49974593	11737108	10312762	87.86	1424346	12.14	GB032_f_2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11737108	0	20-75	53	22.28967367	71.54645574	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	11750876	5222213	11750876	881315700	1029852	848107407	3.768036017	0.8346	0.0374	0.128	0	0
GB032_f_3	8648887	1473529	5894	1223197	0	0	0	0	0	0	0	0	0	5795469	147857	2941	17.03720953	8648887	7425690	85.86	1223197	14.14	GB032_f_3_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8648887	0	20-75	52	27.55348524	70.64175471	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	8947504	4322869	8947504	671062800	889630	618639470	7.811985704	0.8012	0.0577	0.1411	0	0
GB032_fg_1	9851058	2536200	2900	1063614	0	0	0	0	0	0	0	0	0	6021227	222877	4240	25.745458	9851058	8787444	89.2	1063614	10.8	GB032_fg_1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9851058	0	20-75	54	25.62544089	72.11477549	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	9869755	3963394	9869755	740231625	804385	717598691	3.057547562	0.7711	0.0467	0.1822	0	0
GB032_fg_2	14278126	3549358	6742	1903021	0	0	0	0	0	0	0	0	0	8521655	291711	5639	24.85871045	14278126	12375105	86.67	1903021	13.33	GB032_fg_2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14278126	0	20-75	54	25.05801768	72.22718612	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	14305362	5829051	14305362	1072902150	1363340	1041636686	2.914102092	0.7593	0.0519	0.1888	0	0
GB032_fg_3	10651651	2622916	9429	1268256	0	0	0	0	0	0	0	0	0	6532538	214455	4057	24.62450187	10651651	9383395	88.09	1268256	11.91	GB032_fg_3_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10651651	0	20-75	54	24.62449952	72.20914523	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	10669193	4351322	10669193	800189475	816232	776884741	2.912401966	0.7719	0.0426	0.1855	0	0
GB032_gfg_1	8500310	1929404	2534	1114704	0	0	0	0	0	0	0	0	0	5265846	184382	3440	22.69804278	8500310	7385606	86.89	1114704	13.11	GB032_gfg_1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8500310	0	20-75	53	26.77206933	72.17048978	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	8509486	3543130	8509486	638211450	703448	619541017	2.925430592	0.7802	0.0445	0.1753	0	0
GB032_gfg_2	8808988	2660092	21862	1049398	0	0	0	0	0	0	0	0	0	4845844	227528	4264	30.19747558	8808988	7759590	88.09	1049398	11.91	GB032_gfg_2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8808988	0	20-75	54	27.86325403	72.4568888	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	8819469	3428902	8819469	661460175	698292	644662950	2.539415922	0.7231	0.0518	0.225	0	0
