,gene_id,database,kegg_id
2485,PP_0006,KEGG_pathway,map02024
2486,PP_0006,KEGG_pathway,map03060
2487,PP_0006,KEGG_pathway,map03070
2490,PP_0010,KEGG_pathway,map02020
2491,PP_0010,KEGG_pathway,map04112
2498,PP_0011,KEGG_pathway,map00230
2499,PP_0011,KEGG_pathway,map00240
2500,PP_0011,KEGG_pathway,map01100
2501,PP_0011,KEGG_pathway,map03030
2502,PP_0011,KEGG_pathway,map03430
2503,PP_0011,KEGG_pathway,map03440
2505,PP_0012,KEGG_pathway,map03440
2510,PP_0058,KEGG_pathway,map00561
2511,PP_0058,KEGG_pathway,map00564
2512,PP_0058,KEGG_pathway,map01100
2513,PP_0058,KEGG_pathway,map01110
2516,PP_0059,KEGG_pathway,map00540
2517,PP_0059,KEGG_pathway,map01100
2519,PP_0060,KEGG_pathway,map00970
2521,PP_0061,KEGG_pathway,map00970
2523,PP_0062,KEGG_pathway,map03410
2526,PP_0063,KEGG_pathway,map00540
2527,PP_0063,KEGG_pathway,map01100
2530,PP_0067,KEGG_pathway,map00670
2531,PP_0067,KEGG_pathway,map00970
2535,PP_0073,KEGG_pathway,map00860
2536,PP_0073,KEGG_pathway,map01100
2537,PP_0073,KEGG_pathway,map01110
2543,PP_0074,KEGG_pathway,map00400
2544,PP_0074,KEGG_pathway,map01100
2545,PP_0074,KEGG_pathway,map01110
2546,PP_0074,KEGG_pathway,map01130
2547,PP_0074,KEGG_pathway,map01230
2549,PP_0076,KEGG_pathway,map02010
2556,PP_0082,KEGG_pathway,map00260
2557,PP_0082,KEGG_pathway,map00400
2558,PP_0082,KEGG_pathway,map01100
2559,PP_0082,KEGG_pathway,map01110
2560,PP_0082,KEGG_pathway,map01130
2561,PP_0082,KEGG_pathway,map01230
2568,PP_0083,KEGG_pathway,map00260
2569,PP_0083,KEGG_pathway,map00400
2570,PP_0083,KEGG_pathway,map01100
2571,PP_0083,KEGG_pathway,map01110
2572,PP_0083,KEGG_pathway,map01130
2573,PP_0083,KEGG_pathway,map01230
2578,PP_0094,KEGG_pathway,map00630
2579,PP_0094,KEGG_pathway,map01100
2580,PP_0094,KEGG_pathway,map01110
2581,PP_0094,KEGG_pathway,map01130
2583,PP_0100,KEGG_pathway,map00910
2586,PP_0103,KEGG_pathway,map00190
2587,PP_0103,KEGG_pathway,map01100
2590,PP_0104,KEGG_pathway,map00190
2591,PP_0104,KEGG_pathway,map01100
2595,PP_0105,KEGG_pathway,map00190
2596,PP_0105,KEGG_pathway,map01100
2597,PP_0105,KEGG_pathway,map04714
2604,PP_0109,KEGG_pathway,map00190
2605,PP_0109,KEGG_pathway,map00860
2606,PP_0109,KEGG_pathway,map01100
2607,PP_0109,KEGG_pathway,map01110
2608,PP_0109,KEGG_pathway,map02020
2609,PP_0109,KEGG_pathway,map04714
2615,PP_0110,KEGG_pathway,map00190
2616,PP_0110,KEGG_pathway,map00860
2617,PP_0110,KEGG_pathway,map01100
2618,PP_0110,KEGG_pathway,map01110
2619,PP_0110,KEGG_pathway,map04714
2621,PP_0112,KEGG_pathway,map02010
2623,PP_0114,KEGG_pathway,map02010
2637,PP_0115,KEGG_pathway,map00380
2638,PP_0115,KEGG_pathway,map00630
2639,PP_0115,KEGG_pathway,map01110
2640,PP_0115,KEGG_pathway,map01130
2641,PP_0115,KEGG_pathway,map01200
2642,PP_0115,KEGG_pathway,map04011
2643,PP_0115,KEGG_pathway,map04016
2644,PP_0115,KEGG_pathway,map04068
2645,PP_0115,KEGG_pathway,map04146
2646,PP_0115,KEGG_pathway,map04211
2647,PP_0115,KEGG_pathway,map04212
2648,PP_0115,KEGG_pathway,map04213
2649,PP_0115,KEGG_pathway,map05014
2651,PP_0117,KEGG_pathway,map02010
2653,PP_0118,KEGG_pathway,map02010
2655,PP_0119,KEGG_pathway,map02024
2657,PP_0120,KEGG_pathway,map02010
2663,PP_0121,KEGG_pathway,map00260
2664,PP_0121,KEGG_pathway,map01100
2665,PP_0121,KEGG_pathway,map01110
2666,PP_0121,KEGG_pathway,map01120
2667,PP_0121,KEGG_pathway,map01230
2675,PP_0123,KEGG_pathway,map00230
2676,PP_0123,KEGG_pathway,map00240
2677,PP_0123,KEGG_pathway,map01100
2678,PP_0123,KEGG_pathway,map03030
2679,PP_0123,KEGG_pathway,map03410
2680,PP_0123,KEGG_pathway,map03420
2681,PP_0123,KEGG_pathway,map03440
2683,PP_0127,KEGG_pathway,map01503
2685,PP_0129,KEGG_pathway,map04112
2687,PP_0132,KEGG_pathway,map02020
2689,PP_0133,KEGG_pathway,map02020
2691,PP_0140,KEGG_pathway,map02010
2693,PP_0141,KEGG_pathway,map02010
2695,PP_0142,KEGG_pathway,map02010
2704,PP_0154,KEGG_pathway,map00020
2705,PP_0154,KEGG_pathway,map00620
2706,PP_0154,KEGG_pathway,map00650
2707,PP_0154,KEGG_pathway,map01100
2708,PP_0154,KEGG_pathway,map01110
2709,PP_0154,KEGG_pathway,map01120
2710,PP_0154,KEGG_pathway,map01130
2711,PP_0154,KEGG_pathway,map01200
2714,PP_0155,KEGG_pathway,map00760
2715,PP_0155,KEGG_pathway,map01100
2723,PP_0158,KEGG_pathway,map00071
2724,PP_0158,KEGG_pathway,map00310
2725,PP_0158,KEGG_pathway,map00362
2726,PP_0158,KEGG_pathway,map00380
2727,PP_0158,KEGG_pathway,map01100
2728,PP_0158,KEGG_pathway,map01120
2729,PP_0158,KEGG_pathway,map01130
2731,PP_0167,KEGG_pathway,map02010
2734,PP_0169,KEGG_pathway,map00430
2735,PP_0169,KEGG_pathway,map00920
2745,PP_0183,KEGG_pathway,map00480
2746,PP_0183,KEGG_pathway,map00980
2747,PP_0183,KEGG_pathway,map00982
2748,PP_0183,KEGG_pathway,map00983
2749,PP_0183,KEGG_pathway,map01524
2750,PP_0183,KEGG_pathway,map05200
2751,PP_0183,KEGG_pathway,map05204
2752,PP_0183,KEGG_pathway,map05225
2753,PP_0183,KEGG_pathway,map05418
2760,PP_0184,KEGG_pathway,map00220
2761,PP_0184,KEGG_pathway,map00250
2762,PP_0184,KEGG_pathway,map01100
2763,PP_0184,KEGG_pathway,map01110
2764,PP_0184,KEGG_pathway,map01130
2765,PP_0184,KEGG_pathway,map01230
2767,PP_0185,KEGG_pathway,map02020
2772,PP_0186,KEGG_pathway,map00860
2773,PP_0186,KEGG_pathway,map01100
2774,PP_0186,KEGG_pathway,map01110
2775,PP_0186,KEGG_pathway,map01120
2780,PP_0187,KEGG_pathway,map00860
2781,PP_0187,KEGG_pathway,map01100
2782,PP_0187,KEGG_pathway,map01110
2783,PP_0187,KEGG_pathway,map01120
2788,PP_0188,KEGG_pathway,map00860
2789,PP_0188,KEGG_pathway,map01100
2790,PP_0188,KEGG_pathway,map01110
2791,PP_0188,KEGG_pathway,map01120
2799,PP_0213,KEGG_pathway,map00250
2800,PP_0213,KEGG_pathway,map00310
2801,PP_0213,KEGG_pathway,map00350
2802,PP_0213,KEGG_pathway,map00650
2803,PP_0213,KEGG_pathway,map00760
2804,PP_0213,KEGG_pathway,map01100
2805,PP_0213,KEGG_pathway,map01120
2811,PP_0214,KEGG_pathway,map00250
2812,PP_0214,KEGG_pathway,map00310
2813,PP_0214,KEGG_pathway,map00650
2814,PP_0214,KEGG_pathway,map01100
2815,PP_0214,KEGG_pathway,map01120
2817,PP_0219,KEGG_pathway,map02010
2819,PP_0220,KEGG_pathway,map02010
2821,PP_0221,KEGG_pathway,map02010
2823,PP_0225,KEGG_pathway,map02010
2825,PP_0226,KEGG_pathway,map02010
2827,PP_0227,KEGG_pathway,map02010
2836,PP_0228,KEGG_pathway,map00270
2837,PP_0228,KEGG_pathway,map00920
2838,PP_0228,KEGG_pathway,map01100
2839,PP_0228,KEGG_pathway,map01110
2840,PP_0228,KEGG_pathway,map01120
2841,PP_0228,KEGG_pathway,map01200
2842,PP_0228,KEGG_pathway,map01230
2843,PP_0228,KEGG_pathway,map05111
2846,PP_0230,KEGG_pathway,map00430
2847,PP_0230,KEGG_pathway,map00920
2850,PP_0231,KEGG_pathway,map00920
2851,PP_0231,KEGG_pathway,map02010
2854,PP_0232,KEGG_pathway,map00920
2855,PP_0232,KEGG_pathway,map02010
2858,PP_0233,KEGG_pathway,map00920
2859,PP_0233,KEGG_pathway,map02010
2863,PP_0236,KEGG_pathway,map00740
2864,PP_0236,KEGG_pathway,map00920
2865,PP_0236,KEGG_pathway,map01100
2868,PP_0237,KEGG_pathway,map00920
2869,PP_0237,KEGG_pathway,map02010
2871,PP_0238,KEGG_pathway,map00920
2874,PP_0239,KEGG_pathway,map00920
2875,PP_0239,KEGG_pathway,map02010
2878,PP_0240,KEGG_pathway,map00920
2879,PP_0240,KEGG_pathway,map02010
2883,PP_0243,KEGG_pathway,map00270
2884,PP_0243,KEGG_pathway,map00480
2885,PP_0243,KEGG_pathway,map01100
2887,PP_0244,KEGG_pathway,map00360
2890,PP_0246,KEGG_pathway,map02020
2891,PP_0246,KEGG_pathway,map02026
2894,PP_0247,KEGG_pathway,map02020
2895,PP_0247,KEGG_pathway,map02026
2901,PP_0259,KEGG_pathway,map00230
2902,PP_0259,KEGG_pathway,map00240
2903,PP_0259,KEGG_pathway,map00760
2904,PP_0259,KEGG_pathway,map01100
2905,PP_0259,KEGG_pathway,map01110
2907,PP_0260,KEGG_pathway,map00230
2912,PP_0261,KEGG_pathway,map00920
2913,PP_0261,KEGG_pathway,map01100
2914,PP_0261,KEGG_pathway,map01120
2915,PP_0261,KEGG_pathway,map01130
2917,PP_0263,KEGG_pathway,map02020
2919,PP_0264,KEGG_pathway,map02020
2923,PP_0265,KEGG_pathway,map00521
2924,PP_0265,KEGG_pathway,map00523
2925,PP_0265,KEGG_pathway,map01130
2928,PP_0266,KEGG_pathway,map00330
2929,PP_0266,KEGG_pathway,map01100
2931,PP_0286,KEGG_pathway,map03410
2936,PP_0289,KEGG_pathway,map00340
